item,ext
http://www.wikidata.org/entity/Q1266946,http://bibliograph.net/Thesis
http://www.wikidata.org/entity/Q1266946,https://op.europa.eu/web/eu-vocabularies/concept/-/resource?uri=http://data.europa.eu/bkc/019.07.08.0300
http://www.wikidata.org/entity/Q1266946,https://schema.org/Thesis
http://www.wikidata.org/entity/Q1266946,http://swrc.ontoware.org/ontology#Thesis
http://www.wikidata.org/entity/Q1266946,http://www.eionet.europa.eu/gemet/concept/13026
http://www.wikidata.org/entity/Q1269299,http://www.w3.org/ns/org#FormalOrganization
http://www.wikidata.org/entity/Q1273217,http://purl.obolibrary.org/obo/IAO_0000429
http://www.wikidata.org/entity/Q1273217,http://www.w3.org/2006/vcard/ns#Email
http://www.wikidata.org/entity/Q12737077,https://schema.org/Occupation
http://www.wikidata.org/entity/Q12737077,http://www.loc.gov/mads/rdf/v1#Occupation
http://www.wikidata.org/entity/Q12764792,http://swrc.ontoware.org/ontology#PhDStudent
http://www.wikidata.org/entity/Q12769393,http://www.cidoc-crm.org/cidoc-crm/E64_End_of_Existence
http://www.wikidata.org/entity/Q1281199,http://d3fend.mitre.org/ontologies/d3fend.owl#PasswordManager
http://www.wikidata.org/entity/Q128124,http://dbpedia.org/resource/Audio_engineer
http://www.wikidata.org/entity/Q128124,http://fr.dbpedia.org/resource/Ingénieur_du_son
http://www.wikidata.org/entity/Q1281422,http://performedmusicontology.org/ontology/MasterClass
http://www.wikidata.org/entity/Q12819564,http://dbpedia.org/ontology/Station
http://www.wikidata.org/entity/Q1282114,http://purl.obolibrary.org/obo/HP_0002167
http://www.wikidata.org/entity/Q12840545,http://dbpedia.org/ontology/HandballPlayer
http://www.wikidata.org/entity/Q128751,https://schema.org/SoftwareSourceCode
http://www.wikidata.org/entity/Q1292520,http://performedmusicontology.org/ontology/Audition
http://www.wikidata.org/entity/Q1294626,http://purl.org/ontology/mo/MusicArtist
http://www.wikidata.org/entity/Q1295201,https://schema.org/GroceryStore
http://www.wikidata.org/entity/Q12973014,https://schema.org/SportsTeam
http://www.wikidata.org/entity/Q1298668,http://dbpedia.org/ontology/ResearchProject
http://www.wikidata.org/entity/Q130003,http://dbpedia.org/ontology/SkiResort
http://www.wikidata.org/entity/Q130003,https://schema.org/SkiResort
http://www.wikidata.org/entity/Q13049792,http://www.lexinfo.net/ontology/3.0/lexinfo#AdverbialPronoun
http://www.wikidata.org/entity/Q1306135,http://www.popoloproject.com/specs/vote.html
