prop,ext,type,status
http://www.wikidata.org/entity/P571,http://id.nlm.nih.gov/mesh/vocab#dateCreated,Equiv_Prop,
http://www.wikidata.org/entity/P5017,http://id.nlm.nih.gov/mesh/vocab#dateRevised,Ext_Subprop,
http://www.wikidata.org/entity/P683,http://identifiers.org/chebi/,Equiv_Prop,
http://www.wikidata.org/entity/P699,http://identifiers.org/doid/,Equiv_Prop,
http://www.wikidata.org/entity/P351,http://identifiers.org/ncbigene/,Equiv_Prop,
http://www.wikidata.org/entity/P698,http://identifiers.org/pubmed/,Equiv_Prop,
http://www.wikidata.org/entity/P685,http://identifiers.org/taxonomy/,Equiv_Prop,
http://www.wikidata.org/entity/P2892,http://identifiers.org/umls/,Equiv_Prop,
http://www.wikidata.org/entity/P291,http://iflastandards.info/ns/fr/frbr/frbrer/P3057,Equiv_Prop,
http://www.wikidata.org/entity/P1104,http://iflastandards.info/ns/isbd/elements/P1053,Equiv_Prop,
http://www.wikidata.org/entity/P577,http://marc21rdf.info/elements/2XX/M264_1c,Equiv_Prop,
http://www.wikidata.org/entity/P8736,http://metadataregistry.org/uri/Opta/playerID,Exact_Prop,
http://www.wikidata.org/entity/P8737,http://metadataregistry.org/uri/Opta/teamID,Exact_Prop,
http://www.wikidata.org/entity/P3285,http://msc2010.org/resources/MSC/2010/MSC2010,Exact_Prop,not reachable
http://www.wikidata.org/entity/P577,http://musicbrainz.org/ns/mmd-2.0#date,Equiv_Prop,
http://www.wikidata.org/entity/P1828,http://musicbrainz.org/ns/mmd-2.0#ipi,Equiv_Prop,
http://www.wikidata.org/entity/P3265,http://musicontology.com/specification/#term-myspace,Equiv_Prop,
http://www.wikidata.org/entity/P356,http://ndl.go.jp/dcndl/terms/DOI,Equiv_Prop,
http://www.wikidata.org/entity/P791,http://ndl.go.jp/dcndl/terms/ISIL,Equiv_Prop,
http://www.wikidata.org/entity/P1208,http://ndl.go.jp/dcndl/terms/ISMN,Equiv_Prop,
http://www.wikidata.org/entity/P2048,http://ogp.me/ns#image:height,Ext_Subprop,"Open Graph Protocol, link not defined"
http://www.wikidata.org/entity/P1476,http://ogp.me/ns#title,Equiv_Prop,"Open Graph Protocol, link not defined"
http://www.wikidata.org/entity/P2699,http://ogp.me/ns#url,Equiv_Prop,"Open Graph Protocol, link not defined"
http://www.wikidata.org/entity/P2048,http://ogp.me/ns#video:height,Ext_Subprop,"Open Graph Protocol, link not defined"
http://www.wikidata.org/entity/P1640,http://open.vocab.org/terms/isCuratedBy,Equiv_Prop,invalid response
http://www.wikidata.org/entity/P1035,http://pcp-on-web.de/ontology#additionToSurname,Equiv_Prop,
http://www.wikidata.org/entity/P1477,http://pcp-on-web.de/ontology#birthname,Equiv_Prop,
http://www.wikidata.org/entity/P585,http://pcp-on-web.de/ontology#date,Equiv_Prop,
http://www.wikidata.org/entity/P569,http://pcp-on-web.de/ontology#dateOfBirth,Equiv_Prop,
http://www.wikidata.org/entity/P570,http://pcp-on-web.de/ontology#dateOfDeath,Equiv_Prop,
http://www.wikidata.org/entity/P1026,http://pcp-on-web.de/ontology#disputationHasDissertation,Equiv_Prop,
http://www.wikidata.org/entity/P1026,http://pcp-on-web.de/ontology#Dissertation,Ext_Subprop,
http://www.wikidata.org/entity/P735,http://pcp-on-web.de/ontology#forename,Equiv_Prop,
http://www.wikidata.org/entity/P1566,http://pcp-on-web.de/ontology#geonameLocation,Equiv_Prop,
http://www.wikidata.org/entity/P227,http://pcp-on-web.de/ontology#gnd,Equiv_Prop,
http://www.wikidata.org/entity/P50,http://pcp-on-web.de/ontology#hasAuthor,Equiv_Prop,
http://www.wikidata.org/entity/P40,http://pcp-on-web.de/ontology#hasChild,Equiv_Prop,
http://www.wikidata.org/entity/P767,http://pcp-on-web.de/ontology#hasContributor,Equiv_Prop,
http://www.wikidata.org/entity/P170,http://pcp-on-web.de/ontology#hasCreator,Equiv_Prop,
http://www.wikidata.org/entity/P825,http://pcp-on-web.de/ontology#hasDedicatee,Equiv_Prop,
http://www.wikidata.org/entity/P921,http://pcp-on-web.de/ontology#hasKeyword,Equiv_Prop,
http://www.wikidata.org/entity/P22,http://pcp-on-web.de/ontology#hasParent,Ext_Superprop,
http://www.wikidata.org/entity/P8810,http://pcp-on-web.de/ontology#hasParent,Equiv_Prop,
http://www.wikidata.org/entity/P123,http://pcp-on-web.de/ontology#hasPublisher,Equiv_Prop,
http://www.wikidata.org/entity/P921,http://pcp-on-web.de/ontology#hasSubject,Equiv_Prop,
http://www.wikidata.org/entity/P291,http://pcp-on-web.de/ontology#locationDocument,Equiv_Prop,
http://www.wikidata.org/entity/P4353,http://pcp-on-web.de/ontology#nominates,Equiv_Prop,
http://www.wikidata.org/entity/P1830,http://pcp-on-web.de/ontology#owns,Equiv_Prop,
http://www.wikidata.org/entity/P802,http://pcp-on-web.de/ontology#student,Equiv_Prop,
http://www.wikidata.org/entity/P734,http://pcp-on-web.de/ontology#surname,Equiv_Prop,
http://www.wikidata.org/entity/P1476,http://pcp-on-web.de/ontology#title,Equiv_Prop,
http://www.wikidata.org/entity/P5504,http://performedmusicontology.org/ontology/RismNumber,Equiv_Prop,
http://www.wikidata.org/entity/P40,http://purl.bdrc.io/ontology/core/hasChild,Equiv_Prop,
http://www.wikidata.org/entity/P22,http://purl.bdrc.io/ontology/core/hasFather,Equiv_Prop,
http://www.wikidata.org/entity/P25,http://purl.bdrc.io/ontology/core/hasMother,Equiv_Prop,
http://www.wikidata.org/entity/P3373,http://purl.bdrc.io/ontology/core/hasSibling,Equiv_Prop,
http://www.wikidata.org/entity/P26,http://purl.bdrc.io/ontology/core/hasSpouse,Equiv_Prop,
http://www.wikidata.org/entity/P1476,http://purl.bdrc.io/ontology/core/hasTitle,Equiv_Prop,
http://www.wikidata.org/entity/P3701,http://purl.bdrc.io/ontology/core/isIncarnation,Equiv_Prop,
http://www.wikidata.org/entity/P1038,http://purl.bdrc.io/ontology/core/kinWith,Equiv_Prop,
http://www.wikidata.org/entity/P569,http://purl.bdrc.io/ontology/core/PersonBirth,Equiv_Prop,
http://www.wikidata.org/entity/P570,http://purl.bdrc.io/ontology/core/PersonDeath,Equiv_Prop,
http://www.wikidata.org/entity/P734,http://purl.bdrc.io/ontology/core/PersonFamilyName,Equiv_Prop,
http://www.wikidata.org/entity/P1317,http://purl.bdrc.io/ontology/core/PersonFlourished,Equiv_Prop,
