item,pred,ext
http://www.wikidata.org/entity/Q1336920,http://www.wikidata.org/prop/direct/P1709,http://es.dbpedia.org/resource/Colegio_universitario
http://www.wikidata.org/entity/Q1336920,http://www.wikidata.org/prop/direct/P1709,http://fr.dbpedia.org/resource/Collège_communautaire
http://www.wikidata.org/entity/Q1336920,http://www.wikidata.org/prop/direct/P1709,http://nl.dbpedia.org/resource/Community_college
http://www.wikidata.org/entity/Q1336920,http://www.wikidata.org/prop/direct/P1709,http://pl.dbpedia.org/resource/Community_college
http://www.wikidata.org/entity/Q13382519,http://www.wikidata.org/prop/direct/P1709,http://dbpedia.org/ontology/TableTennisPlayer
http://www.wikidata.org/entity/Q13382576,http://www.wikidata.org/prop/direct/P1709,http://dbpedia.org/ontology/Rower
http://www.wikidata.org/entity/Q13414980,http://www.wikidata.org/prop/direct/P1709,http://dbpedia.org/ontology/AustralianRulesFootballPlayer
http://www.wikidata.org/entity/Q13415036,http://www.wikidata.org/prop/direct/P1709,http://dbpedia.org/ontology/RugbyPlayer
http://www.wikidata.org/entity/Q13417114,http://www.wikidata.org/prop/direct/P1709,http://dbpedia.org/ontology/NobleFamily
http://www.wikidata.org/entity/Q13474373,http://www.wikidata.org/prop/direct/P1709,http://dbpedia.org/ontology/Wrestler
http://www.wikidata.org/entity/Q1350189,http://www.wikidata.org/prop/direct/P1709,http://dbpedia.org/ontology/Egyptologist
http://www.wikidata.org/entity/Q13561328,http://www.wikidata.org/prop/direct/P1709,http://dbpedia.org/ontology/Surfer
http://www.wikidata.org/entity/Q13590141,http://www.wikidata.org/prop/direct/P1709,http://dbpedia.org/ontology/Presenter
http://www.wikidata.org/entity/Q13590141,http://www.wikidata.org/prop/direct/P1709,http://fr.dbpedia.org/property/présentateur
http://www.wikidata.org/entity/Q1402736,http://www.wikidata.org/prop/direct/P1709,http://pcp-on-web.de/ontology#PrivateLecturer
http://www.wikidata.org/entity/Q1410110,http://www.wikidata.org/prop/direct/P1709,http://www.w3.org/ns/org#Site
http://www.wikidata.org/entity/Q14128148,http://www.wikidata.org/prop/direct/P1709,http://dbpedia.org/ontology/AmericanFootballPlayer
http://www.wikidata.org/entity/Q14128148,http://www.wikidata.org/prop/direct/P1709,http://dbpedia.org/ontology/GridironFootballPlayer
http://www.wikidata.org/entity/Q141683,http://www.wikidata.org/prop/direct/P1709,http://dbpedia.org/ontology/BroadcastNetwork
http://www.wikidata.org/entity/Q141683,http://www.wikidata.org/prop/direct/P1709,http://purl.org/ontology/po/Broadcaster
http://www.wikidata.org/entity/Q14350,http://www.wikidata.org/prop/direct/P1709,http://purl.org/ontology/po/Radio
http://www.wikidata.org/entity/Q14350,http://www.wikidata.org/prop/direct/P1709,https://schema.org/RadioStation
http://www.wikidata.org/entity/Q1438040,http://www.wikidata.org/prop/direct/P1709,http://id.loc.gov/authorities/classification/cf94052998
http://www.wikidata.org/entity/Q14467526,http://www.wikidata.org/prop/direct/P1709,http://dbpedia.org/ontology/Linguist
http://www.wikidata.org/entity/Q14623351,http://www.wikidata.org/prop/direct/P1709,https://schema.org/RadioSeries
http://www.wikidata.org/entity/Q149566,http://www.wikidata.org/prop/direct/P1709,https://schema.org/MiddleSchool
http://www.wikidata.org/entity/Q1497649,http://www.wikidata.org/prop/direct/P2888,https://www.wikidata.org/wiki/Q1030034
http://www.wikidata.org/entity/Q1501495,http://www.wikidata.org/prop/direct/P2888,http://dbpedia.org/resource/Family_History_Center_(LDS_Church)
http://www.wikidata.org/entity/Q1507619,http://www.wikidata.org/prop/direct/P2888,https://findthatcharity.uk/orgid/XI-ROR-04fjx8e69
http://www.wikidata.org/entity/Q15117302,http://www.wikidata.org/prop/direct/P1709,http://dbpedia.org/ontology/VolleyballPlayer
http://www.wikidata.org/entity/Q152081,http://www.wikidata.org/prop/direct/P2888,https://data.niod.nl/WO2_Thesaurus/2017
http://www.wikidata.org/entity/Q152478,http://www.wikidata.org/prop/direct/P2888,https://schema.org/sponsor
http://www.wikidata.org/entity/Q15265344,http://www.wikidata.org/prop/direct/P1709,http://dbpedia.org/ontology/Broadcaster
http://www.wikidata.org/entity/Q15265344,http://www.wikidata.org/prop/direct/P1709,http://purl.org/ontology/po/Service
http://www.wikidata.org/entity/Q15265344,http://www.wikidata.org/prop/direct/P1709,https://schema.org/BroadcastChannel
http://www.wikidata.org/entity/Q15265344,http://www.wikidata.org/prop/direct/P2888,https://schema.org/broadcaster
http://www.wikidata.org/entity/Q15284,http://www.wikidata.org/prop/direct/P1709,http://kbpedia.org/kko/rc/Municipality
http://www.wikidata.org/entity/Q1529128,http://www.wikidata.org/prop/direct/P1709,https://schema.org/ParcelService
http://www.wikidata.org/entity/Q1530022,http://www.wikidata.org/prop/direct/P1709,http://dbpedia.org/ontology/ReligiousOrganisation
http://www.wikidata.org/entity/Q153813,http://www.wikidata.org/prop/direct/P2888,https://data.niod.nl/WO2_Thesaurus/2008
http://www.wikidata.org/entity/Q1555508,http://www.wikidata.org/prop/direct/P1709,http://dbpedia.org/ontology/RadioProgram
http://www.wikidata.org/entity/Q156362,http://www.wikidata.org/prop/direct/P1709,http://dbpedia.org/ontology/Winery
http://www.wikidata.org/entity/Q156362,http://www.wikidata.org/prop/direct/P1709,https://schema.org/Winery
http://www.wikidata.org/entity/Q1587716,http://www.wikidata.org/prop/direct/P1709,https://schema.org/TouristInformationCenter
http://www.wikidata.org/entity/Q15982795,http://www.wikidata.org/prop/direct/P1709,http://dbpedia.org/ontology/Bodybuilder
http://www.wikidata.org/entity/Q15991303,http://www.wikidata.org/prop/direct/P1709,https://dbpedia.org/ontology/SoccerLeague
http://www.wikidata.org/entity/Q160742,http://www.wikidata.org/prop/direct/P1709,http://dbpedia.org/ontology/Abbey
http://www.wikidata.org/entity/Q1607722,http://www.wikidata.org/prop/direct/P2888,https://findthatcharity.uk/orgid/XI-ROR-02xbr5r10
http://www.wikidata.org/entity/Q1607826,http://www.wikidata.org/prop/direct/P2888,https://schema.org/editor
http://www.wikidata.org/entity/Q16110,http://www.wikidata.org/prop/direct/P2888,https://w3id.org/italia/onto/CLV/Region
http://www.wikidata.org/entity/Q1616075,http://www.wikidata.org/prop/direct/P1709,https://schema.org/TelevisionStation
http://www.wikidata.org/entity/Q1622272,http://www.wikidata.org/prop/direct/P1709,http://pcp-on-web.de/ontology#Lecturer
http://www.wikidata.org/entity/Q16278103,http://www.wikidata.org/prop/direct/P1709,http://dbpedia.org/ontology/SquashPlayer
http://www.wikidata.org/entity/Q163740,http://www.wikidata.org/prop/direct/P1709,http://dbpedia.org/ontology/Non-ProfitOrganisation
http://www.wikidata.org/entity/Q164950,http://www.wikidata.org/prop/direct/P1709,http://pcp-on-web.de/ontology#FamilyDynasty
http://www.wikidata.org/entity/Q165029,http://www.wikidata.org/prop/direct/P1709,https://schema.org/Electrician
http://www.wikidata.org/entity/Q16529344,http://www.wikidata.org/prop/direct/P2888,http://purl.obolibrary.org/obo/ENVO_02000070
http://www.wikidata.org/entity/Q16533,http://www.wikidata.org/prop/direct/P1709,http://dbpedia.org/ontology/Judge
http://www.wikidata.org/entity/Q16562419,http://www.wikidata.org/prop/direct/P2888,http://purl.obolibrary.org/obo/ENVO_00000123
http://www.wikidata.org/entity/Q166118,http://www.wikidata.org/prop/direct/P1709,http://dbpedia.org/ontology/Archive
http://www.wikidata.org/entity/Q16659620,http://www.wikidata.org/prop/direct/P2888,http://purl.obolibrary.org/obo/ENVO_02000092
http://www.wikidata.org/entity/Q167037,http://www.wikidata.org/prop/direct/P1709,http://pcp-on-web.de/ontology#Corporation
http://www.wikidata.org/entity/Q167037,http://www.wikidata.org/prop/direct/P1709,https://schema.org/Corporation
http://www.wikidata.org/entity/Q167346,http://www.wikidata.org/prop/direct/P2888,http://purl.obolibrary.org/obo/ENVO_00010624
http://www.wikidata.org/entity/Q16735601,http://www.wikidata.org/prop/direct/P1709,https://schema.org/Florist
http://www.wikidata.org/entity/Q16917,http://www.wikidata.org/prop/direct/P1709,http://dbpedia.org/ontology/Hospital
http://www.wikidata.org/entity/Q16917,http://www.wikidata.org/prop/direct/P1709,http://linkeddata.ge.imati.cnr.it:2020/resource/EARTh/48630
http://www.wikidata.org/entity/Q16917,http://www.wikidata.org/prop/direct/P1709,https://schema.org/Hospital
http://www.wikidata.org/entity/Q16917,http://www.wikidata.org/prop/direct/P1709,http://www.eionet.europa.eu/gemet/concept/3999
http://www.wikidata.org/entity/Q16917,http://www.wikidata.org/prop/direct/P2888,http://purl.obolibrary.org/obo/ENVO_00002173
http://www.wikidata.org/entity/Q17098559,http://www.wikidata.org/prop/direct/P1709,http://comicmeta.org/cbo/penciller
http://www.wikidata.org/entity/Q17297777,http://www.wikidata.org/prop/direct/P1709,http://www.w3.org/2006/vcard/ns#Friend
http://www.wikidata.org/entity/Q17504942,http://www.wikidata.org/prop/direct/P2888,http://wordnet-rdf.princeton.edu/wn30/10565667-n
http://www.wikidata.org/entity/Q176799,http://www.wikidata.org/prop/direct/P1709,http://dbpedia.org/ontology/MilitaryUnit
http://www.wikidata.org/entity/Q177220,http://www.wikidata.org/prop/direct/P1709,http://dbpedia.org/ontology/Singer
http://www.wikidata.org/entity/Q1774898,http://www.wikidata.org/prop/direct/P1709,https://schema.org/MedicalClinic
http://www.wikidata.org/entity/Q178706,http://www.wikidata.org/prop/direct/P1709,http://pcp-on-web.de/ontology#Institution
http://www.wikidata.org/entity/Q178790,http://www.wikidata.org/prop/direct/P1709,http://dbpedia.org/ontology/TradeUnion
http://www.wikidata.org/entity/Q178790,http://www.wikidata.org/prop/direct/P1709,https://schema.org/WorkersUnion
http://www.wikidata.org/entity/Q178885,http://www.wikidata.org/prop/direct/P1709,http://dbpedia.org/ontology/Deity
http://www.wikidata.org/entity/Q18029574,http://www.wikidata.org/prop/direct/P1709,http://www.w3.org/2006/vcard/ns#Colleague
http://www.wikidata.org/entity/Q18029574,http://www.wikidata.org/prop/direct/P1709,http://www.w3.org/2006/vcard/ns#Coworker
http://www.wikidata.org/entity/Q18029574,http://www.wikidata.org/prop/direct/P2888,http://purl.org/vocab/relationship/colleagueOf
http://www.wikidata.org/entity/Q18029574,http://www.wikidata.org/prop/direct/P2888,https://schema.org/colleague
http://www.wikidata.org/entity/Q180846,http://www.wikidata.org/prop/direct/P2888,http://wordnet-rdf.princeton.edu/wn31/104365794-n
http://www.wikidata.org/entity/Q180958,http://www.wikidata.org/prop/direct/P1709,http://pcp-on-web.de/ontology#Faculty
http://www.wikidata.org/entity/Q181600,http://www.wikidata.org/prop/direct/P1709,https://schema.org/Patient
http://www.wikidata.org/entity/Q18325436,http://www.wikidata.org/prop/direct/P2888,https://schema.org/Nonprofit501c3
